user_id,days_since_signup,sessions_last_14d,messages_sent,plan_type,industry,received_onboarding_email,converted_to_paid
1,8.0,8.0,44.0,free,finance,1.0,0.0
2,70.0,3.0,54.0,free,other,0.0,0.0
3,59.0,2.0,65.0,pro,other,0.0,0.0
4,39.0,17.0,56.0,free,tech,1.0,1.0
5,39.0,10.0,131.0,free,tech,1.0,0.0
6,78.0,7.0,64.0,free,healthcare,0.0,0.0
7,7.0,5.0,94.0,free,healthcare,0.0,0.0
8,63.0,7.0,72.0,free,tech,0.0,0.0
9,18.0,20.0,14.0,free,other,0.0,0.0
10,8.0,19.0,43.0,free,finance,1.0,0.0
11,47.0,28.0,71.0,free,finance,1.0,1.0
12,88.0,1.0,51.0,pro,other,1.0,0.0
13,66.0,6.0,26.0,pro,tech,1.0,0.0
14,69.0,5.0,42.0,free,healthcare,1.0,0.0
15,65.0,14.0,133.0,free,other,1.0,1.0
16,71.0,11.0,56.0,free,other,1.0,0.0
17,46.0,11.0,94.0,pro,tech,1.0,0.0
18,11.0,5.0,28.0,free,tech,1.0,0.0
19,76.0,14.0,46.0,free,healthcare,0.0,0.0
20,40.0,7.0,56.0,free,tech,1.0,0.0
21,45.0,6.0,29.0,free,healthcare,0.0,0.0
22,33.0,4.0,82.0,free,other,1.0,0.0
23,16.0,11.0,24.0,free,tech,0.0,0.0
24,84.0,10.0,35.0,free,tech,1.0,1.0
25,71.0,8.0,45.0,free,finance,0.0,0.0
26,58.0,7.0,29.0,pro,other,0.0,1.0
27,36.0,5.0,60.0,free,finance,1.0,0.0
28,74.0,4.0,77.0,pro,other,0.0,0.0
29,49.0,14.0,123.0,free,healthcare,1.0,0.0
30,40.0,10.0,23.0,free,tech,0.0,0.0
31,40.0,3.0,76.0,free,tech,0.0,0.0
32,20.0,8.0,76.0,free,healthcare,0.0,0.0
33,8.0,17.0,81.0,free,tech,1.0,1.0
34,50.0,2.0,37.0,pro,tech,1.0,0.0
35,80.0,5.0,22.0,free,tech,0.0,0.0
36,5.0,13.0,118.0,free,finance,1.0,0.0
37,78.0,4.0,137.0,pro,other,1.0,0.0
38,75.0,2.0,46.0,pro,other,0.0,0.0
39,25.0,3.0,68.0,pro,healthcare,0.0,0.0
40,57.0,11.0,59.0,free,tech,1.0,1.0
41,15.0,19.0,71.0,free,finance,1.0,0.0
42,68.0,13.0,89.0,pro,tech,0.0,1.0
43,63.0,30.0,56.0,pro,finance,1.0,1.0
44,32.0,3.0,177.0,free,healthcare,0.0,0.0
45,6.0,12.0,75.0,pro,tech,1.0,0.0
46,88.0,4.0,65.0,pro,tech,0.0,0.0
47,40.0,13.0,126.0,free,other,1.0,1.0
48,81.0,1.0,64.0,pro,tech,1.0,0.0
49,61.0,4.0,81.0,free,healthcare,1.0,0.0
50,70.0,7.0,36.0,free,healthcare,0.0,0.0
51,69.0,16.0,84.0,free,finance,0.0,0.0
52,17.0,17.0,53.0,free,tech,1.0,1.0
53,33.0,16.0,56.0,free,other,1.0,1.0
54,42.0,5.0,51.0,pro,healthcare,0.0,0.0
55,45.0,8.0,116.0,pro,healthcare,1.0,0.0
56,3.0,20.0,79.0,free,healthcare,1.0,0.0
57,49.0,1.0,90.0,free,tech,0.0,0.0
58,14.0,1.0,33.0,free,finance,1.0,1.0
59,67.0,8.0,72.0,free,other,1.0,0.0
60,62.0,15.0,19.0,free,tech,1.0,1.0
61,83.0,8.0,90.0,free,healthcare,1.0,0.0
62,67.0,4.0,71.0,free,tech,0.0,0.0
63,33.0,5.0,73.0,pro,other,0.0,0.0
64,88.0,5.0,50.0,free,other,0.0,0.0
65,37.0,15.0,62.0,free,other,1.0,1.0
66,29.0,8.0,83.0,pro,healthcare,1.0,1.0
67,82.0,17.0,105.0,pro,finance,1.0,1.0
68,33.0,18.0,49.0,free,other,1.0,1.0
69,6.0,19.0,136.0,free,tech,1.0,0.0
70,42.0,17.0,125.0,free,other,0.0,0.0
71,72.0,11.0,57.0,free,other,0.0,0.0
72,17.0,1.0,40.0,free,tech,1.0,0.0
73,42.0,9.0,89.0,free,tech,1.0,1.0
74,11.0,13.0,85.0,free,other,1.0,0.0
75,62.0,13.0,46.0,free,tech,0.0,0.0
76,43.0,20.0,72.0,free,tech,1.0,1.0
77,30.0,17.0,124.0,pro,tech,1.0,0.0
78,20.0,2.0,36.0,free,other,0.0,0.0
79,51.0,22.0,104.0,free,tech,1.0,0.0
80,60.0,1.0,70.0,free,tech,1.0,0.0
81,85.0,23.0,138.0,free,tech,1.0,1.0
82,39.0,7.0,39.0,free,finance,1.0,0.0
83,14.0,9.0,58.0,free,finance,1.0,0.0
84,75.0,8.0,125.0,pro,tech,0.0,1.0
85,57.0,6.0,87.0,pro,finance,0.0,0.0
86,63.0,9.0,115.0,free,healthcare,0.0,1.0
87,8.0,5.0,134.0,free,tech,1.0,0.0
88,28.0,20.0,57.0,pro,healthcare,1.0,1.0
89,69.0,7.0,92.0,free,healthcare,0.0,0.0
90,75.0,14.0,90.0,pro,healthcare,1.0,0.0
91,39.0,3.0,48.0,pro,tech,1.0,1.0
92,73.0,4.0,35.0,free,finance,0.0,0.0
93,76.0,6.0,88.0,free,other,1.0,1.0
94,35.0,19.0,102.0,free,tech,1.0,1.0
95,81.0,1.0,31.0,free,other,0.0,0.0
96,26.0,13.0,78.0,free,finance,0.0,1.0
97,21.0,5.0,103.0,free,healthcare,1.0,0.0
98,62.0,7.0,74.0,free,tech,0.0,0.0
99,57.0,7.0,122.0,free,healthcare,0.0,0.0
100,12.0,11.0,33.0,free,tech,1.0,1.0
101,75.0,5.0,164.0,free,other,1.0,0.0
102,18.0,12.0,78.0,free,tech,1.0,0.0
103,73.0,2.0,83.0,pro,tech,0.0,0.0
104,0.0,1.0,86.0,free,tech,0.0,0.0
105,72.0,3.0,34.0,free,other,1.0,0.0
106,71.0,16.0,137.0,pro,other,1.0,0.0
107,71.0,5.0,92.0,free,tech,0.0,0.0
108,60.0,10.0,133.0,pro,tech,0.0,0.0
109,42.0,17.0,139.0,free,other,1.0,1.0
110,64.0,6.0,21.0,free,tech,1.0,0.0
111,25.0,18.0,69.0,free,tech,0.0,0.0
112,71.0,15.0,92.0,pro,tech,1.0,1.0
113,50.0,1.0,28.0,free,tech,1.0,0.0
114,41.0,9.0,16.0,free,other,0.0,0.0
115,46.0,19.0,84.0,free,healthcare,1.0,1.0
116,51.0,3.0,129.0,pro,tech,0.0,0.0
117,3.0,6.0,56.0,pro,other,1.0,0.0
118,12.0,12.0,77.0,free,other,0.0,1.0
119,22.0,22.0,51.0,free,tech,1.0,0.0
120,10.0,5.0,112.0,free,tech,0.0,0.0
121,40.0,3.0,78.0,free,tech,0.0,0.0
122,60.0,11.0,112.0,pro,tech,1.0,1.0
123,59.0,6.0,54.0,pro,tech,0.0,0.0
124,42.0,8.0,37.0,free,finance,0.0,1.0
125,77.0,0.0,52.0,free,tech,1.0,1.0
126,51.0,7.0,96.0,free,other,1.0,0.0
127,7.0,9.0,126.0,pro,tech,1.0,1.0
128,69.0,14.0,52.0,free,healthcare,1.0,0.0
129,52.0,5.0,29.0,pro,healthcare,1.0,0.0
130,57.0,5.0,92.0,free,other,1.0,1.0
131,51.0,11.0,98.0,free,finance,0.0,0.0
132,50.0,11.0,26.0,free,tech,0.0,0.0
133,8.0,4.0,79.0,free,tech,1.0,0.0
134,50.0,5.0,47.0,free,tech,0.0,0.0
135,72.0,9.0,68.0,free,tech,0.0,0.0
136,27.0,15.0,49.0,free,tech,1.0,0.0
137,54.0,20.0,59.0,free,healthcare,1.0,1.0
